"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA","Brazil","São Paulo","SANTA RITA DO PASSA QUATRO (SP)","Uso Sustentável","30","cnuc_2025_08.csv","ARIE","ARIE_BURITI_DE_VASSUNUNGA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Brazil","São Paulo","SANTA RITA DO PASSA QUATRO (SP)","Uso Sustentável","32","cnuc_2025_08.csv","ARIE","ARIE_CERRADO_PE-DE-GIGANTE"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO GUARÁ","Brazil","São Paulo","ILHA COMPRIDA (SP)","Uso Sustentável","1.725","cnuc_2025_08.csv","ARIE","ARIE_GUARA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA DO AMEIXAL","Brazil","São Paulo",NA,"Uso Sustentável","0000.00.0036","DadosGeoestatisticos_UCs_21jul2025.csv","ARIE","ARIE_ILHA_DO_AMEIXAL"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE","Brazil","São Paulo",NA,"Uso Sustentável","0000.00.0037","DadosGeoestatisticos_UCs_21jul2025.csv","ARIE","ARIE_ILHAS_DA_QUEIMADA_PEQUENA_E_QUEIMADA_GRANDE"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA","Brazil","São Paulo","PERUÍBE (SP)","Uso Sustentável","37","cnuc_2025_08.csv","ARIE","ARIE_ILHAS_QUEIMADA_GRANDE_E_QUEIMADA_PEQUENA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO","Brazil","São Paulo","AGUDOS (SP) - BAURU (SP) - PEDERNEIRAS (SP)","Uso Sustentável","3.889","cnuc_2025_08.csv","ARIE","ARIE_LEOPOLDO_MAGNO_COUTINHO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA","Brazil","São Paulo","CAMPINAS (SP) - PAULÍNIA (SP)","Uso Sustentável","40","cnuc_2025_08.csv","ARIE","ARIE_MATA_DE_SANTA_GENEBRA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATÃO DE COSMÓPOLIS","Brazil","São Paulo","ARTUR NOGUEIRA (SP) - COSMÓPOLIS (SP)","Uso Sustentável","41","cnuc_2025_08.csv","ARIE","ARIE_MATAO_DE_COSMOPOLIS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PEDRA BRANCA","Brazil","São Paulo","TREMEMBÉ (SP)","Uso Sustentável","3.731","cnuc_2025_08.csv","ARIE","ARIE_PEDRA_BRANCA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO SEBASTIÃO","Brazil","São Paulo","CARAGUATATUBA (SP) - ILHABELA (SP) - SÃO SEBASTIÃO (SP) - UBATUBA (SP)","Uso Sustentável","1.722","cnuc_2025_08.csv","ARIE","ARIE_SAO_SEBASTIAO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ZONA DE VIDA SILVESTRE APA DA ILHA COMPRIDA","Brazil","São Paulo","ILHA COMPRIDA (SP)","Uso Sustentável","2.843","cnuc_2025_08.csv","ARIE","ARIE_ZVS_APA_DA_ILHA_COMPRIDA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ZVS – APA ILHA COMPRIDA","Brazil","São Paulo","Iguape",NA,NA,"UCs_IF.csv","ARIE","ARIE_ZVS_–_APA_ILHA_COMPRIDA"
"ESTAÇÃO ECOLÓGICA ANGATUBA","Brazil","São Paulo","ANGATUBA (SP) - GUAREÍ (SP)","Proteção Integral","2.936","cnuc_2025_08.csv","EEC","EEC_ANGATUBA"
"ESTAÇÃO ECOLÓGICA ARARAQUARA","Brazil","São Paulo","Araraquara",NA,NA,"UCs_IF.csv","EEC","EEC_ARARAQUARA"
"ESTAÇÃO ECOLÓGICA ASSIS","Brazil","São Paulo","ASSIS (SP)","Proteção Integral","2.935","cnuc_2025_08.csv","EEC","EEC_ASSIS"
"ESTAÇÃO ECOLÓGICA AVARÉ","Brazil","São Paulo","AVARÉ (SP)","Proteção Integral","2.606","cnuc_2025_08.csv","EEC","EEC_AVARE"
"ESTAÇÃO ECOLÓGICA BANANAL","Brazil","São Paulo","BANANAL (SP)","Proteção Integral","820","cnuc_2025_08.csv","EEC","EEC_BANANAL"
"ESTAÇÃO ECOLÓGICA BANHADOS DE IGUAPE","Brazil","São Paulo","IGUAPE (SP)",NA,"0000.35.1970","relatorio_ucs_05_06_2025_saopaulo.csv","EEC","EEC_BANHADOS_DE_IGUAPE"
"ESTAÇÃO ECOLÓGICA BARREIRO RICO","Brazil","São Paulo","ANHEMBI (SP)","Proteção Integral","1.672","cnuc_2025_08.csv","EEC","EEC_BARREIRO_RICO"
"ESTAÇÃO ECOLÓGICA BAURU","Brazil","São Paulo","BAURU (SP)","Proteção Integral","909","cnuc_2025_08.csv","EEC","EEC_BAURU"
"ESTAÇÃO ECOLÓGICA BRÁULIO GUEDES DA SILVA","Brazil","São Paulo","SOROCABA (SP)","Proteção Integral","3.474","cnuc_2025_08.csv","EEC","EEC_BRAULIO_GUEDES_DA_SILVA"
"ESTAÇÃO ECOLÓGICA CAETETUS","Brazil","São Paulo","ALVINLÂNDIA (SP) - GÁLIA (SP)","Proteção Integral","857","cnuc_2025_08.csv","EEC","EEC_CAETETUS"
"ESTAÇÃO ECOLÓGICA CHAÚAS","Brazil","São Paulo","IGUAPE (SP)","Proteção Integral","817","cnuc_2025_08.csv","EEC","EEC_CHAUAS"
"ESTAÇÃO ECOLÓGICA GOVERNADOR MARIO COVAS","Brazil","São Paulo","SOROCABA (SP)","Proteção Integral","3.25","cnuc_2025_08.csv","EEC","EEC_GOVERNADOR_MARIO_COVAS"
"ESTAÇÃO ECOLÓGICA IBICATU","Brazil","São Paulo","PIRACICABA (SP)","Proteção Integral","819","cnuc_2025_08.csv","EEC","EEC_IBICATU"
"ESTAÇÃO ECOLÓGICA ITABERÁ","Brazil","São Paulo","ITABERÁ (SP)","Proteção Integral","821","cnuc_2025_08.csv","EEC","EEC_ITABERA"
"ESTAÇÃO ECOLÓGICA ITAPETI","Brazil","São Paulo","MOGI DAS CRUZES (SP)","Proteção Integral","910","cnuc_2025_08.csv","EEC","EEC_ITAPETI"
"ESTAÇÃO ECOLÓGICA ITAPEVA","Brazil","São Paulo","ITAPEVA (SP)","Proteção Integral","815","cnuc_2025_08.csv","EEC","EEC_ITAPEVA"
"ESTAÇÃO ECOLÓGICA ITIRAPINA","Brazil","São Paulo","BROTAS (SP) - ITIRAPINA (SP)","Proteção Integral","2.701","cnuc_2025_08.csv","EEC","EEC_ITIRAPINA"
"ESTAÇÃO ECOLÓGICA JATAÍ","Brazil","São Paulo","LUÍS ANTÔNIO (SP)","Proteção Integral","808","cnuc_2025_08.csv","EEC","EEC_JATAI"
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","Brazil","São Paulo","IGUAPE (SP) - ITARIRI (SP) - MIRACATU (SP) - PERUÍBE (SP)","Proteção Integral","862","cnuc_2025_08.csv","EEC","EEC_JUREIA-ITATINS"
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO GRAJAUNA","Brazil","São Paulo","Peruíbe",NA,NA,"UCs_IF.csv","EEC","EEC_JUREIA-ITATINS_–_NUCLEO_GRAJAUNA"
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO PEREQUÊ","Brazil","São Paulo","Peruíbe",NA,NA,"UCs_IF.csv","EEC","EEC_JUREIA-ITATINS_–_NUCLEO_PEREQUE"
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO RIO VERDE","Brazil","São Paulo","Peruíbe",NA,NA,"UCs_IF.csv","EEC","EEC_JUREIA-ITATINS_–_NUCLEO_RIO_VERDE"
"ESTAÇÃO ECOLÓGICA MARÍLIA","Brazil","São Paulo","MARÍLIA (SP)","Proteção Integral","2.605","cnuc_2025_08.csv","EEC","EEC_MARILIA"
"ESTAÇÃO ECOLÓGICA MATA DO JACARÉ","Brazil","São Paulo","BROTAS (SP)","Proteção Integral","818","cnuc_2025_08.csv","EEC","EEC_MATA_DO_JACARE"
"ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO","Brazil","São Paulo","EUCLIDES DA CUNHA PAULISTA (SP) - MARABÁ PAULISTA (SP) - PRESIDENTE EPITÁCIO (SP) - TEODORO SAMPAIO (SP)","Proteção Integral","73","cnuc_2025_08.csv","EEC","EEC_MICO_LEAO_PRETO"
"ESTAÇÃO ECOLÓGICA MICO-LEÃO-PRETO","Brazil","São Paulo",NA,"Proteção Integral","0000.00.0073","DadosGeoestatisticos_UCs_21jul2025.csv","EEC","EEC_MICO-LEAO-PRETO"
"ESTAÇÃO ECOLÓGICA MOGI-GUAÇU","Brazil","São Paulo","MOGI GUAÇU (SP)","Proteção Integral","2.617","cnuc_2025_08.csv","EEC","EEC_MOGI-GUACU"
"ESTAÇÃO ECOLÓGICA MUNICIPAL DO CAETÊ","Brazil","São Paulo","BRAGANÇA PAULISTA (SP)","Proteção Integral","3.854","cnuc_2025_08.csv","EEC","EEC_MUNICIPAL_DO_CAETE"
"ESTAÇÃO ECOLÓGICA MUNICIPAL DO PIRAJIBU","Brazil","São Paulo","SOROCABA (SP)","Proteção Integral","3.249","cnuc_2025_08.csv","EEC","EEC_MUNICIPAL_DO_PIRAJIBU"
"ESTAÇÃO ECOLÓGICA MUNICIPAL GUARANI","Brazil","São Paulo","RIBEIRÃO PRETO (SP)","Proteção Integral","3.892","cnuc_2025_08.csv","EEC","EEC_MUNICIPAL_GUARANI"
"ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA","Brazil","São Paulo","MIRASSOL (SP) - SÃO JOSÉ DO RIO PRETO (SP)","Proteção Integral","2.672","cnuc_2025_08.csv","EEC","EEC_NOROESTE_PAULISTA"
"ESTAÇÃO ECOLÓGICA PARANAPANEMA","Brazil","São Paulo","PARANAPANEMA (SP)","Proteção Integral","2.669","cnuc_2025_08.csv","EEC","EEC_PARANAPANEMA"
"ESTAÇÃO ECOLÓGICA PAULO DE FARIA","Brazil","São Paulo","PAULO DE FARIA (SP)","Proteção Integral","807","cnuc_2025_08.csv","EEC","EEC_PAULO_DE_FARIA"
