"family","scientificName","commonName","catalogNumber","catalogCode","country","stateProvince","municipality","locality"
"MYRSINACEAE","Myrsine  coriacea  (Sw.)  R.Br.  ex  Roem.  & Schult.","capororoca","41088,","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRSINACEAE","Myrsine balansae (Mez)  Arechav.*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRSINACEAE","Myrsine gardneriana A.DC.","capororoca",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRSINACEAE","Myrsine lancifolia Mart. *","capororoca",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRSINACEAE","Myrsine umbellata Mart.","capororoca",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Calyptranthes concinna DC.","guamirim-facho",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Campomanesia pubescens  (DC.) O.Berg.","gabiroba-do-campo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Eugenia bimarginata DC.","falsa-cagaita",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Eugenia hiemalis Cambess.","cambuí-do-campo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Eugenia pitanga (O.Berg). Kiaersk.*","pitanga-do-cerrado",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Gomidesia sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Myrcia albotomentosa  DC.*","mircia",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Myrcia guianensis (Aubl.) DC.*","brasa-viva",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Myrcia laruotteana Cambess.","cambuí",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Myrcia multiflora (Lam.) DC.","cambuí",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Myrcia pulchra (O.Berg) Kiaersk.*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Myrcia sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Myrcia tomentosa (Aub.)  DC.","goiabeira-brava",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Myrcia venulosa DC.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Myrciaria tenella (DC.) O.Berg*","cambuí",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Psidium australe Cambess.","araçá",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Psidium grandifolium DC.","araçá",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRTACEAE","Psidium sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"NYCTAGINACEAE","Guapira opposita (Vell.)  Reitz*","maria-mole",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"OCHNACEAE","Ouratea sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"OCHNACEAE","Ouratea spectabilis Engl.","batiputá","41097","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"OLEACEAE","Chionanthus filiformis (Vell.) P.S.Green*","carne-de-vaca",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"OXALIDACEAE","Oxalis cytisoides Mart. & Zucc.*",NA,"41136","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"PERACEAE","Pera glabrata (Schott) Poepp.  ex Baill.","sapateiro",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"PHYLLANTHACEAE","Hyeronima alchorneoides Allemão","licurana",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"PIPERACEAE","Piper gaudichaudianum  Kunth*",NA,"41158","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"POACEAE","Elionurus muticus (Spreng.) Kuntze*",NA,"41170","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"POACEAE","Ichnanthus  calvescens Nees*",NA,"41133","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"PODOCARPACEAE","Podocarpus  sellowii Klotzsch ex Endl.","pinheiro-bravo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"PROTEACEAE","Roupala montana  Aubl.","carne-de-vaca",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"RHAMNACEAE","Colubrina glandulosa Perkins","saraguagi-vermelho",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"RHAMNACEAE","Rhamnus  sphaerosperma  Sw.","canjica","41104","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"ROSACEAE","Prunus myrtifolia (L.) Urb.","pessegueiro-bravo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ROSACEAE","Rubus brasiliensis Mart.","amora-branca",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Amaioua intermedia Mart.*","café-do-mato",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Coccocypselum  lanceolatum  (Ruiz  &  Pav.) Pers.","piririca","41135","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Cordiera  myrciifolia  (K.Schum.)  C.H.Perss. & Delprete*","marmelinho-da-mata",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Cordiera concolor (Cham.)  Kuntze.","marmelada",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Coussarea  sp.",NA,"41155","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Guettarda  viburnoides Cham. & Schltdl.","jangada",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Ixora venulosa Benth.*","ixora",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Manettia cordifolia Mart.*","cipó-de-santo-","41134","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Margaritopsis  cephalantha  (Müll.Arg.)  C.M. Taylor*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Palicourea rigida Kunth","douradinha","41121","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Posoqueria acutifolia Mart.","laranja-de-macaco",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Psychotria leiocarpa Cham. & Schltdl.",NA,"41101","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Psychotria sp.1",NA,"41145","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Psychotria sp.2",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Psychotria vellosiana Benth.*","erva-de-rato-de-","41090","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUBIACEAE","Randia armata (Sw.) DC.","fruta-de-jacaré",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUTACEAE","Esenbeckia grandiflora Mart.","pau-de-cotia",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"RUTACEAE","Helietta apiculata Benth.","amarelinho","41099","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"SALICACEAE","Casearia lasiophylla Eichler*","cambroé",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SALICACEAE","Casearia obliqua Spreng.*","guaçatonga",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SALICACEAE","Casearia sylvestris Sw.","guaçatonga",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SANTALACEAE","Phoradendron  sp.",NA,"41143","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"SAPINDACEAE","Allophylus  edulis (A.St.-Hil.,  Cambess.  & A.Juss.)  Radlk.","três-folhas",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SAPINDACEAE","Cupania vernalis Cambess.","arco-de-peneira",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SAPINDACEAE","Cupania zanthoxyloides  Cambess.",NA,"41154","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"SAPINDACEAE","Matayba elaeagnoides Radlk.","cuvantã",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SAPOTACEAE","Chrysophyllum  marginatum  (Hook.  &  Arn.) Radlk.","aguaí",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SAPOTACEAE","Pouteria gardneri (Mart. & Miq.) Baehni*","sapoti-vermelho",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SAPOTACEAE","Pradosia brevipes (Pierre) T.D.Penn.*",NA,"41119","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"SMILACACEAE","Smilax elastica Griseb.*","japecanga",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SOLANACEAE","Calibrachoa  micrantha (FRIES)  Stehmann & Semir",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SOLANACEAE","Cestrum corymbosum  Schltdl.","coerana-amarela",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SOLANACEAE","Solandra grandiflora Sw.*",NA,"41113","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"SOLANACEAE","Solanum lycocarpum  A.St.-Hil.","fruta-de-lobo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SOLANACEAE","Solanum sanctae-catarinae  Dunal*","joá-manso",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SOLANACEAE","Solanum sp.",NA,"41156","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"STYRACACEAE","Styrax camporum  Pohl","laranjeira-do-mato","41152,","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"STYRACACEAE","Styrax ferrugineus Ness & Mart.","laranjeira-do-campo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"STYRACACEAE","Styrax latifolius Pohl*","canela-póca",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"STYRACACEAE","Styrax pohlii A.DC.*","estoraque",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SYMPLOCACEAE","Symplocos pubescens Klotzsch  ex Benth.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SYMPLOCACEAE","Symplocos sp.1",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SYMPLOCACEAE","Symplocos sp.2",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"SYMPLOCACEAE","Symplocos tenuifolia Brand",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"THYMELAEACEAE","Daphnopsis fasciculata (Meisn.) Neul","embira",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"URTICACEAE","Cecropia sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"VERBENACEAE","Lantana fucata Lindl.*","cambará-roxo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"VERBENACEAE","Lippia lupulina Cham.","rosa-do-campo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"VIOLACEAE","Anchietea pyrifolia (Mart.) G.Don*",NA,"41148","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"VOCHYSIACEAE","Callisthene castellanosii H.F.Martins",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"VOCHYSIACEAE","Qualea cordata Spreng.","pau-terra","41107","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"VOCHYSIACEAE","Qualea grandiflora Mart.","pau-terra",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"VOCHYSIACEAE","Vochysia tucanorum  Mart.","cinzeiro",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"WINTERACEAE","Drymis angustifolia Miers",NA,"41151","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"XYRIDACEAE","Xyris savanensis Miq.*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"XYRIDACEAE","Xyris sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,"41144","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,"verdadeiro",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,"41139","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,"41150","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,NA,"41147","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
NA,NA,"cerrado",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
