"family","scientificName","commonName","catalogNumber","catalogCode","country","stateProvince","municipality","locality"
"ARECACEAE","Attalea geraensis Barb. Rodr","catolé",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ARECACEAE","Geonoma  sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ARECACEAE","Syagrus romanzoffiana  (Cham.)  Glassman","jerivá",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ASTERACEAE","Baccharis dentata (Vell.)  G.M. Barroso*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ASTERACEAE","Baccharis dracunculifolia DC.","vassourinha",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ASTERACEAE","Baccharis genistelloides subsp. Crispa (Spreng.) Joch.Müll.","carqueja","41175","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"ASTERACEAE","Baccharis sp.",NA,"41122","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"ASTERACEAE","Calea pinnatifida (R.Br.) Less.*","erva-de-largato",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ASTERACEAE","Chresta sphaerocephala  DC.","chapéu-de-couro",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ASTERACEAE","Chrysanthellum sp.",NA,"41166","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"ASTERACEAE","Gochnatia polymorpha (Less.)  Cabrera","candeia",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ASTERACEAE","Piptocarpha axillaris (Less.) Baker","vassourão",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ASTERACEAE","Piptocarpha macropoda  (DC.) Baker*","vassourão",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ASTERACEAE","Senecio sp.",NA,"41161","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"ASTERACEAE","Symphyopappus cuneatus (DC.)  Sch.Bip.ex Baker *","eupatório",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"BIGNONIACEAE","Cybistax antisyphilitica (Mart.) Mart.","ipê-verde",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"BIGNONIACEAE","Fridericia speciosa Mart.*","cipó-vermelho","41160","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"BIGNONIACEAE","Handroanthus  ochraceus  (Cham.)  Mattos","ipê-amarelo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"BIGNONIACEAE","Handroanthus chrysotrichus (Mart. Ex A.DC.)  Mattos*","ipê-amarelo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"BIGNONIACEAE","Jacaranda  decurrens Cham.*","carobinha",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"BIGNONIACEAE","Jacaranda  macrantha Cham.","carobão",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"BIGNONIACEAE","Jacaranda  oxyphylla Cham.","caroba-de-são-joão",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"BIGNONIACEAE","Zeyheria tuberculosa (Vell.)  Bureau*","ipê-tabaco",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"BORAGINACEAE","Cordia trichotoma (Vell.)  Arráb.  ex Steud.*","louro-pardo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"BROMELIACEAE","Aechmea  distichantha Lem.","caraguatá",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"BROMELIACEAE","Ananas ananassoides (Baker)  L.B.Sm.*","abacaxi-do-cerrado",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"BROMELIACEAE","Billbergia distachia (Vell.) Mez*","gravatá","41132","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"BROMELIACEAE","Bromelia balansae Mez*","caraguatá",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"BROMELIACEAE","Dyckia tuberosa (Vell.)  Beer*","gravatá","41123","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"BROMELIACEAE","Tillandsia sp.",NA,"41098","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"BROMELIACEAE","Tillandsia stricta Sol. ex Sims",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"BURSERACEAE","Protium sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CACTACEAE","Cereus hildmannianus K.Schum.*","mandacaru",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CAMPANULACEAE","Siphocampylus sulfureus E.Wimm.*",NA,"40124,41571","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"CARYOCARACEAE","Caryocar brasiliense Cambess.","pequi","41117","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"CELASTRACEAE","Maytenus evonymoides Reissek","laranjinha",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CELASTRACEAE","Maytenus robusta Reissek","cafezinho",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CELASTRACEAE","Plenckia populnea Reissek","mangabeira-brava",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CHRYSOBALANACEAE","Hirtella hebeclada Moric. ex DC.*","macucurana",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CLETHRACEAE","Clethra scabra Pers.","carne-de-vaca",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CLUSIACEAE","Kielmeyera variabilis Mart.& Zucc.*","malva-do-campo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"COMBRETACEAE","Terminalia triflora (Griseb.) Lillo*","amarelinho",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CONVOLVULACEAE","Convolvulus sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CONVOLVULACEAE","Ipomoea sp.",NA,"41106","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
