Nome_UC,Estado,Municipio,Nome_Alternativo,Relação,Confiança,Observações,,,,,,,,,,,,,,,,,,,,
Parque Estadual Ilha Anchieta,São Paulo,,Reserva Florestal da Bocaina,Loc. dentro da UC,,,,,,,,,,,,,,,,,,,,,,
Reserva Ecológica da Juatinga,Rio de Janeiro,,Reserva Florestal da Bocaina,Loc. dentro da UC,,,,,,,,,,,,,,,,,,,,,,
Área de Proteção Ambiental de Cairuçu,Rio de Janeiro,,Reserva Florestal da Bocaina,Loc. dentro da UC,,,,,,,,,,,,,,,,,,,,,,
PARQUE NACIONAL SERRA DA BOCAINA,São Paulo,,Reserva Florestal da Bocaina,Loc. dentro da UC,,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO MAR,São Paulo,Cubatão,Parque Ecológico Perequê,Disjunto,,"Aparentemente, o Parque Ecológico Perequê faz limite com o Parque Estadual Serra do Mar núcleo Itutinga Pilões ao Norte. No site para agendamento de visitas, á essa menção 
https://itutingapiloes.ingressosparquespaulistas.com.br/produto/ff-pesm-itutinga-piloes-trilha-cachoeira-veu-da-noiva-parque-municipal-pereque-cubatao?divisao=0",,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO MAR,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
Parque Nacional da Serra da Bocaina,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
Parque Nacional da Serra dos Órgãos,Rio de Janeiro,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
Parque Estadual Restinga de Bertioga,,,Serra do Mar,UC dentro da loc.,Bronze,https://guiadeareasprotegidas.sp.gov.br/ap/parque-estadual-restinga-de-bertioga/,,,,,,,,,,,,,,,,,,,,
Estação Ecológica de Bananal,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CAIRUÇU,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CAIRUÇU,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL ITINGUÇU,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL PRELADO,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DESPRAIADO,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL BARRA DO UNA,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
REFÚGIO DE VIDA SILVESTRE ILHAS DO ABRIGO E GUARARITAMA,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SERRA DA BOCAINA,,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL ILHA GRANDE,RJ,,Serra do Mar,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL ÁGUAS DA PRATA,,QUALQUER,Reserva Estadual de Águas da Prata,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL FONTES DO IPIRANGA,São Paulo,São Paulo,Jardim Botânico,Loc. dentro da UC,Ouro,"Devo tirar o ""Jardim Botânico de São Paulo""?",,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA,São Paulo,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
Área de Proteção Ambiental Mananciais da Bacia Hidrográfica do rio Paraíba do Sul,São Paulo,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
PARQUE NACIONAL ITATIAIA,São Paulo,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
FLORESTA NACIONAL PASSA QUATRO,Minas Gerais,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
FLORESTA NACIONAL LORENA,São Paulo,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL CAMPOS DO JORDÃO,São Paulo,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO,São Paulo,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO BRIGADEIRO,Minas Gerais,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
Parque Estadual do Ibitipoca,Minas Gerais,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO PAPAGAIO,Minas Gerais,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL FERNÃO DIAS,Minas Gerais,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL SAPUCAÍ MIRIM,São Paulo,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA,São Paulo,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
APA da Serrinha do Alambari,Rio de Janeiro,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL SÃO FRANCISCO XAVIER,São Paulo,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
Parque Natural Municipal Garganta do Registro,Minas Gerais,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA MINA,São Paulo,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
Reserva Particular do Patrimônio Natural (RPPN) Alto Montana,Minas Gerais,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PICO DOS TRÊS ESTADOS,Minas Gerais,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AGULHAS NEGRAS,Rio de Janeiro,,Serra da Mantiqueira,,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CANANÉIA-IGUAPÉ-PERUÍBE,São Paulo,QUALQUER,Estrada Cananéia,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL LAGAMAR DE CANANÉIA,São Paulo,,Estrada Cananéia,,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL JUNDIAÍ,,,,Intersecção,Prata,"47,6%",,,,,,,,,,,,,,,,,,,,
Reserva Biológica da Serra do Japí,,,,Intersecção,Bronze,https://serradojapi.jundiai.sp.gov.br/rebio/,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CABREÚVA,,,,Intersecção,Prata,"41,1%",,,,,,,,,,,,,,,,,,,,
Reserva de Biosfera da Mata Atlântica,,,,,,colocar? Não entendi se conta como UC,,,,,,,,,,,,,,,,,,,,
Estação Ecológica Valinhos,São Paulo,Valinhos,Estação Ecológica,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA,São Paulo,,Serra da Cantareira,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL CANTAREIRA,São Paulo,,Serra da Cantareira,Intersecção,Bronze,"12,22%. Área do Parque segundo o Guia de Áreas Protegidas da Fundação Florestal dividida pela estimativa da parea da serra presente em documentos e estudos citados no artigo da Serra da Cantareira no Wikipedia",,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL RESTINGA DE BERTIOGA,São Paulo,Bertioga,Mata de Restinga,Intersecção,Ouro,Abriga 98% dos remanescentes de mata de restinga da Baixada Santista,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL RESTINGA DE BERTIOGA,São Paulo,Boraceia,Mata de Restinga,Intersecção,Ouro,Abriga 98% dos remanescentes de mata de restinga da Baixada Santista,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CORUMBATAÍ-BOTUCATU-TEJUPÁ,São Paulo,Botucatu,Mata de banhado,,,Não existem dados de quanto dessa mata ocorre dentro das UCs,,,,,,,,,,,,,,,,,,,,
Floresta Estadual de Botucatu,São Paulo,Botucatu,Mata de banhado,,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ,São Paulo,Itu,Área de proteção ambiental,,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL PEDREGULHO,São Paulo,Itu,Área de proteção ambiental,,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO ITAPETI,São Paulo,Mogi das Cruzes,Serra do Itapeti,Igual,Ouro,96 a 100%,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA ITAPETI,São Paulo,Mogi das Cruzes,Serra do Itapeti,Loc. dentro da UC,Ouro,dentro da APA,,,,,,,,,,,,,,,,,,,,
Parque Natural Municipal Francisco Affonso de Mello,São Paulo,Mogi das Cruzes,Serra do Itapeti,Loc. dentro da UC,Ouro,Dentro da APA. Ainda em fase de revisão do plano de manejo,,,,,,,,,,,,,,,,,,,,
Parque Natural Municipal Francisco Affonso de Mello,São Paulo,Mogi das Cruzes,Parque Municipal da Serra do Itapety,Igual,Ouro,Ainda em fase de revisão do plano de manejo,,,,,,,,,,,,,,,,,,,,
FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE,São Paulo,Rio Claro,Horto Florestal,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE,São Paulo,Rio Claro,Floresta Estadual Navarro de Andrade,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
Reserva Particular do Patrimônio Natural Serra da Onça,Goiás,Estrela do Norte,Estrela do Norte,UC dentro da loc.,,Única UC listada pelo CNUC no município,,,,,,,,,,,,,,,,,,,,
PARQUE NACIONAL SERRA DA BOCAINA,São Paulo,,Morro da Boa Vista,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL PORTO FERREIRA,São Paulo,Porto Ferreira,Instituto Florestal,,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR,São Paulo,,Área da Cia. Votorantim. Estrada entre o alojamento da Barra e a portaria para Tapiraí,Loc. dentro da UC,Ouro,"Aparentemente, Tapiraí está em outras áreas de proteção, mas não entendi se já existem oficialmente. Tem o Legado das Águas, mas é privada e não é RPPN; e a Reserva da Biosfera da Mata Atlântica reconhecida pela UNESCO",,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO TIETÊ,São Paulo,Mogi das Cruzes,APA da Várzea,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE NACIONAL SERRA DA BOCAINA,,,"Serra da Bocaina, Morro da Boa Vista",UC dentro da loc.,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ,São Paulo,Botucatu,Fazenda Edgardia,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI,São Paulo,Botucatu,Fazenda Edgardia,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA,São Paulo,Pindamonhangaba,Pico do Itapeva,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA,São Paulo,Pindamonhangaba,Perto do Pico do Itapeva,,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ,São Paulo,,na estrada Itirapina-Rio Claro,,,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO MAR,São Paulo,Salesópolis,Reserva Florestal,,,,,,,,,,,,,,,,,,,,,,,
Parque Estadual Nascentes do Rio Tietê,São Paulo,Salesópolis,Reserva Florestal,,,,,,,,,,,,,,,,,,,,,,,
