Nome_UC,Estado,Municipio,Nome_Alternativo,Relação,Confiança,Observações,,,,,,,,,,,,,,,,,,,,
PE Campos do Jordão,São Paulo,Campos do Jordão,PECJ,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PE Campos do Jordão,São Paulo,Campos do Jordão,Trilha das Sete Pontes,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
PE Campos do Jordão,São Paulo,Campos do Jordão,Fazenda da Guarda,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
APA Campos do Jordão,São Paulo,Campos do Jordão,()|.*,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL JUNDIAÍ,São Paulo,Jundiaí,Serra do Japi,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL JUNDIAÍ,São Paulo,Cabreúva,Serra do Japi,Disjunto,Zero,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL JUNDIAÍ,São Paulo,QUALQUER,Serra do Japi,Intersecção,Prata,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA DE MOGI-GUAÇU,São Paulo,QUALQUER,Fazenda Campininha,UC dentro da loc.,Prata,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL DAS FONTES DO IPIRANGA,São Paulo,São Paulo,Parque do Estado,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA,São Paulo,QUALQUER,parque estadual jacupiranga,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA MARÍLIA,São Paulo,Marília,Estação Experimental,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA MARÍLIA,São Paulo,QUALQUER,Estação Experimental de Marília,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
APA PIRACICABA JUQUERI MIRIM ÁREA I,São Paulo,QUALQUER,APA PIRACICABA / JUQUERÍ-MIRIM ÁREA-I,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
APA PIRACICABA JUQUERI MIRIM ÁREA II,São Paulo,QUALQUER,APA PIRACICABA / JUQUERÍ-MIRIM ÁREA-II,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
APA RIO BATALHA,São Paulo,QUALQUER,APA Bacia Hidrográfica do Rio Batalha,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
APA VÁRZEA DO RIO TIETÊ,São Paulo,QUALQUER,APA Várzea do Tietê,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA MUNICIPAL DO CAETÊ,São Paulo,QUALQUER,EEC DO CAETÊ(S?),Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA MUNICIPAL DO PIRAJIBU,São Paulo,QUALQUER,EEC DO PIRAJIBU,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA MUNICIPAL GUARANI,São Paulo,QUALQUER,ESTAÇÃO ECOLÓGICA GUARANI,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
Estação Ecológica Juréia-Itatins,São Paulo,,Estação Ecológica Jureia,Igual,Ouro,juréia-itatins foi modificada e partes viraram outros parques,,,,,,,,,,,,,,,,,,,,
RESERVA BIOLÓGICA ALTO DA SERRA,São Paulo,Santo André,E.B. do Alto da Serra,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL VASSUNUNGA,São Paulo,Santa Rita do Passa Quatro,Gleba de Cerrado Pé de Gigante,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI,São Paulo,Pratânia,Fazenda Palmeira da Serra,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA GRANDE E QUEIMADA PEQUENA,São Paulo,Itanhaém,ARIE das Ilhas Queimada Pequena e Queimada Grande,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA,São Paulo,Itanhaém,Ilha Queimada Grande,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO TIETÊ,São Paulo,Mogi das Cruzes,APA do Rio Tietê César de Sousa,Loc. dentro da UC,Ouro,"Provavelmente se refere à porção da APA Várzea do Rio Tietê mais próxima ao distrito Cezar de Souza, em Mogi das Cruzes",,,,,,,,,,,,,,,,,,,,
RESERVA BIOLÓGICA ALTO DA SERRA,São Paulo,Paranapiacaba,Alto da Serra,Igual,,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL FONTES DO IPIRANGA,São Paulo,São Paulo,Parque do Estado,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL JUQUERY,São Paulo,Franco da Rocha,P.E.Juqueri,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE NATURAL MUNICIPAL CAMPO GRANDE,São Paulo,Campinas,Fazenda Campo Grande,UC dentro da loc.,Bronze,"O Parque Nacional Municipal do Campo Grande fica na área da antiga Fazenda Bela Aliança, que pode ter sido conhecida como ""Fazenda Campo Grande"". 38% da área foi transformada em UC",,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,Reserva Santa Genebra,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,mata de santa genebra,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,mata santa genebra,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,Barão Geraldo,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,fazenda santa genebra,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,"Barão Geraldo, Fazenda Santa Genebra",Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,Barão de Geraldo,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,"Barão de Geraldo, Fazenda Santa Genebra",Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,reserva municipal santa genebra,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,Faz. Santa Genebra,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,Distrito de Barão Geraldo,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA BANANAL,São Paulo,Bananal,estacao ecologica,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL CANTAREIRA,São Paulo,QUALQUER,Serra da Cantareira,UC dentro da loc.,Prata,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO MAR,São Paulo,Natividade da Serra,,Intersecção,Bronze,,,,,,,,,,,,,,,,,,,,,
RESERVA BIOLÓGICA MOGI-GUAÇU,São Paulo,Mogi-Guaçu,Reserva Florestal,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA MOGI-GUAÇU,São Paulo,Mogi-Guaçu,Reserva Florestal,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE,São Paulo,Santa Rita do Passa Quatro,Parque Estadual de Vassununga,UC dentro da loc.,Prata,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE,São Paulo,Santa Rita do Passa Quatro,Gleba Cerrado Pé-de-Gigante,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
