Origin Image,Barcode,Herbarium of Origin,Associated duplicates in Virtual Herbarium,Indicated duplicates the voucher specimen,Rank:,Scientific Name,"Determination qualifier (cf., aff. ou !)",Family,Genus,Species,subsp./var./forma,Author of Taxon,Determiner,Determination Date ,Type,Collector,Other Collectors,Collection Number,From:,To:,Plant description,Country,State,City,Description of Location,Elevation Minimum,Elevation Maximum,Measurement unit,Latitude Minimum,Latitude Maximum,Longitude Minimum,Longitude Maximum,Comments,Updated by,Updated
PMSP,PMSP00000590,PMSP,,,Species,FABACEAE Cyclolobium brasiliense Benth.,,Fabaceae,Cyclolobium,brasiliense,,Benth.,R.S. Rodrigues,--/--/2003,no,R.J.F. Garcia,,,06/05/1985,,"Árvore, 4-6 m alt., copa arredondada; frutos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000701,PMSP,,,Species,FABACEAE Copaifera langsdorffii Desf.,,Fabaceae,Copaifera,langsdorffii,,Desf.,V.C. Souza,--/--/1999,no,L. Rossi,"M. Bittar,J.C.R. Coelho",,13/09/1985,,"Árvore, 6 m alt., folhas jovens; frutos maduros com sementes pretas e arilo laranja.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000754,PMSP,,,Species,FABACEAE Delonix regia (Bojer ex Hook.) Raf.,,Fabaceae,Delonix,regia,,(Bojer ex Hook.) Raf.,R.J.F. Garcia,03/12/1985,no,R.J.F. Garcia,C. Lewkowicz,,03/12/1985,,"Árvore, 8 m alt., 50 cm DAP; flores laranjas, copa com 20 m de diâmetro. Ornamental.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000766,PMSP,,,Species,FABACEAE Dalbergia brasiliensis Vogel,,Fabaceae,Dalbergia,brasiliensis,,Vogel,J.R. Pirani,,no,J.C.R. Coelho,"R.J.F. Garcia,C. Lewkowicz",,09/01/1986,,"Árvore, 6 m alt., 20 cm DAP; flores alvas em inflorescências ferrugíneas evidentes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000769,PMSP,,,Species,FABACEAE Anadenanthera colubrina (Vell.) Brenan,,Fabaceae,Anadenanthera,colubrina,,(Vell.) Brenan,V.C. Souza,--/11/1987,no,J.C.R. Coelho,"R.J.F. Garcia,C. Lewkowicz",,09/01/1986,,"Árvore, 12 m alt., 40 cm DAP, copa umbelada; flores alvas; frutos verde-avermelhados.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Próximo ao lago.,,
PMSP,PMSP00000770,PMSP,,,Species,FABACEAE Cassia leptophylla Vogel,,Fabaceae,Cassia,leptophylla,,Vogel,J.R. Pirani,--/--/1988,no,J.C.R. Coelho,"R.J.F. Garcia,C. Lewkowicz",,09/01/1986,,"Árvore, 10 m alt., 40 cm DAP, copa globosa, flores amarelas, visitadas por abelhas. Folhas retiradas para estudos paleobotânicos (UnG, 6/2001).",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Jardim em frente à casa da sede.,,
PMSP,PMSP00000791,PMSP,,,Species,FABACEAE Senna multijuga (Rich.) H.S.Irwin & Barneby,,Fabaceae,Senna,multijuga,,(Rich.) H.S.Irwin & Barneby,V.C. Souza,--/--/1999,no,S. Honda,et al.,,17/07/1986,,"Árvore, 6 m alt., 30 cm DAP, frutos.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000794,PMSP,,,Species,FABACEAE Cajanus cajan (L.) Huth,,Fabaceae,Cajanus,cajan,,(L.) Huth,J.R. Pirani/ !S.T.S. Miotto,--/12/1997,no,G.M. Silva,"S. Honda,L.M. Rocha,N.L. Maciel",,17/07/1986,,"Arbusto, 3 m alt.; flores amarelas com glândulas pegajosas, melífera; frutos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000798,PMSP,,,Species,FABACEAE Brownea grandiceps Jacq.,,Fabaceae,Brownea,grandiceps,,Jacq.,V.C. Souza,--/--/2000,no,S. Honda,,,15/09/1986,,"Árvore,  6 m alt., 40 cm DAP; folhas novas vermelhas; flores vermelhas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000820,PMSP,,,Species,FABACEAE Anadenanthera colubrina (Vell.) Brenan,,Fabaceae,Anadenanthera,colubrina,,(Vell.) Brenan,No determiner,,no,S. Honda,G. Hashimoto,,26/11/1986,,"Árvore, 6 m alt., 40 cm DAP, flores cremes; frutos.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
