"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE",1774,155,26,294,529,529,311,100,54,26
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO GUARÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA DO AMEIXAL",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE",36,11,0,14,26,26,25,19,1,1
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO",101,32,1,7,42,42,36,22,2,4
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA",2937,353,16,187,666,665,372,98,110,40
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATÃO DE COSMÓPOLIS",2,0,0,2,2,2,2,2,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PEDRA BRANCA",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO SEBASTIÃO",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ZONA DE VIDA SILVESTRE APA DA ILHA COMPRIDA",0,0,0,0,NA,NA,NA,NA,NA,NA
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ZVS – APA ILHA COMPRIDA",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA ANGATUBA",769,67,126,56,251,251,177,77,2,6
"ESTAÇÃO ECOLÓGICA ARARAQUARA",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA ASSIS",737,89,19,75,282,281,174,74,99,32
"ESTAÇÃO ECOLÓGICA AVARÉ",178,27,10,74,111,111,85,35,0,11
"ESTAÇÃO ECOLÓGICA BANANAL",1744,179,95,258,557,556,265,96,25,50
"ESTAÇÃO ECOLÓGICA BANHADOS DE IGUAPE",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA BARREIRO RICO",2,1,0,1,2,2,2,1,0,0
"ESTAÇÃO ECOLÓGICA BAURU",114,20,27,6,64,64,52,26,11,8
"ESTAÇÃO ECOLÓGICA BRÁULIO GUEDES DA SILVA",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA CAETETUS",1114,115,20,102,352,352,228,78,115,17
"ESTAÇÃO ECOLÓGICA CHAÚAS",378,52,13,60,168,167,121,58,43,12
"ESTAÇÃO ECOLÓGICA GOVERNADOR MARIO COVAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA IBICATU",405,28,47,98,177,177,137,62,4,5
"ESTAÇÃO ECOLÓGICA ITABERÁ",541,61,124,93,323,323,206,81,45,15
"ESTAÇÃO ECOLÓGICA ITAPETI",64,2,34,18,56,56,46,28,2,0
"ESTAÇÃO ECOLÓGICA ITAPEVA",2079,205,58,171,575,573,326,112,141,129
"ESTAÇÃO ECOLÓGICA ITIRAPINA",1273,130,49,197,437,437,259,89,61,44
"ESTAÇÃO ECOLÓGICA JATAÍ",867,99,1,147,288,288,179,63,41,38
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS",5974,605,137,348,1193,1193,615,179,103,66
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO GRAJAUNA",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO PEREQUÊ",4,1,0,1,2,2,2,2,0,0
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO RIO VERDE",31,5,5,5,15,15,13,11,0,3
"ESTAÇÃO ECOLÓGICA MARÍLIA",134,40,1,14,95,95,73,35,40,1
"ESTAÇÃO ECOLÓGICA MATA DO JACARÉ",0,0,0,0,NA,NA,NA,NA,NA,NA
"ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO",0,0,0,0,NA,NA,NA,NA,NA,NA
