"name","NumRecords","NumOuro","NumPrata","NumBronze"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE",1774,1031,743,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO GUARÁ",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA DO AMEIXAL",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE",36,36,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO",101,0,101,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA",2937,2937,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATÃO DE COSMÓPOLIS",2,2,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PEDRA BRANCA",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO SEBASTIÃO",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ZONA DE VIDA SILVESTRE APA DA ILHA COMPRIDA",0,0,0,0
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ZVS – APA ILHA COMPRIDA",0,0,0,0
"ESTAÇÃO ECOLÓGICA ANGATUBA",769,769,0,0
"ESTAÇÃO ECOLÓGICA ARARAQUARA",0,0,0,0
"ESTAÇÃO ECOLÓGICA ASSIS",737,737,0,0
"ESTAÇÃO ECOLÓGICA AVARÉ",178,178,0,0
"ESTAÇÃO ECOLÓGICA BANANAL",1744,1744,0,0
"ESTAÇÃO ECOLÓGICA BANHADOS DE IGUAPE",0,0,0,0
"ESTAÇÃO ECOLÓGICA BARREIRO RICO",2,2,0,0
"ESTAÇÃO ECOLÓGICA BAURU",114,114,0,0
"ESTAÇÃO ECOLÓGICA BRÁULIO GUEDES DA SILVA",0,0,0,0
"ESTAÇÃO ECOLÓGICA CAETETUS",1114,1114,0,0
"ESTAÇÃO ECOLÓGICA CHAÚAS",378,378,0,0
"ESTAÇÃO ECOLÓGICA GOVERNADOR MARIO COVAS",0,0,0,0
"ESTAÇÃO ECOLÓGICA IBICATU",405,405,0,0
"ESTAÇÃO ECOLÓGICA ITABERÁ",541,541,0,0
"ESTAÇÃO ECOLÓGICA ITAPETI",64,64,0,0
"ESTAÇÃO ECOLÓGICA ITAPEVA",2079,2079,0,0
"ESTAÇÃO ECOLÓGICA ITIRAPINA",1273,1273,0,0
"ESTAÇÃO ECOLÓGICA JATAÍ",867,867,0,0
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS",5974,5955,19,0
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO GRAJAUNA",0,0,0,0
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO PEREQUÊ",4,4,0,0
"ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO RIO VERDE",31,31,0,0
"ESTAÇÃO ECOLÓGICA MARÍLIA",134,134,0,0
"ESTAÇÃO ECOLÓGICA MATA DO JACARÉ",0,0,0,0
"ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO",0,0,0,0
"ESTAÇÃO ECOLÓGICA MICO-LEÃO-PRETO",1,1,0,0
"ESTAÇÃO ECOLÓGICA MOGI-GUAÇU",10745,307,10438,0
"ESTAÇÃO ECOLÓGICA MUNICIPAL DO CAETÊ",0,0,0,0
"ESTAÇÃO ECOLÓGICA MUNICIPAL DO PIRAJIBU",0,0,0,0
"ESTAÇÃO ECOLÓGICA MUNICIPAL GUARANI",0,0,0,0
"ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA",1181,1181,0,0
"ESTAÇÃO ECOLÓGICA PARANAPANEMA",1017,1017,0,0
"ESTAÇÃO ECOLÓGICA PAULO DE FARIA",2252,2252,0,0
"ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO",442,442,0,0
"ESTAÇÃO ECOLÓGICA SANTA BÁRBARA",2189,2189,0,0
"ESTAÇÃO ECOLÓGICA SANTA MARIA",4,4,0,0
"ESTAÇÃO ECOLÓGICA SEBASTIÃO ALEIXO DA SILVA",0,0,0,0
"ESTAÇÃO ECOLÓGICA TANQUE GRANDE",0,0,0,0
"ESTAÇÃO ECOLÓGICA TUPINAMBÁS",21,21,0,0
"ESTAÇÃO ECOLÓGICA TUPINIQUINS",40,40,0,0
"ESTAÇÃO ECOLÓGICA VALINHOS",25,25,0,0
"ESTAÇÃO ECOLÓGICA XITUÉ",115,115,0,0
"FLORESTA ESTADUAL ANGATUBA",38,38,0,0
"FLORESTA ESTADUAL ASSIS",171,171,0,0
"FLORESTA ESTADUAL AVARÉ I",68,68,0,0
"FLORESTA ESTADUAL AVARÉ II",0,0,0,0
"FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE",425,223,202,0
"FLORESTA ESTADUAL GUARULHOS",1,1,0,0
"FLORESTA ESTADUAL NOROESTE PAULISTA",0,0,0,0
"FLORESTA ESTADUAL PEDERNEIRAS",0,0,0,0
"FLORESTA ESTADUAL SERRA DÁGUA",0,0,0,0
"FLORESTA NACIONAL CAPÃO BONITO",0,0,0,0
"FLORESTA NACIONAL IPANEMA",765,765,0,0
"FLORESTA NACIONAL LORENA",1,1,0,0
"MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA",0,0,0,0
"MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ",0,0,0,0
"MONUMENTO NATURAL ESTADUAL PEDRA GRANDE",0,0,0,0
"MONUMENTO NATURAL MUNICIPAL DO PICO DO ITAGUARÉ",0,0,0,0
"PARQUE ESTADUAL AGUAPEÍ",109,109,0,0
"PARQUE ESTADUAL ÁGUAS DA BILLINGS",38,38,0,0
"PARQUE ESTADUAL ÁGUAS DA PRATA",1,1,0,0
"PARQUE ESTADUAL ALBERTO LÖFGREN",577,199,378,0
"PARQUE ESTADUAL ARA",6,6,0,0
"PARQUE ESTADUAL ASSESSORIA DA REFORMA AGRÁRIA",0,0,0,0
"PARQUE ESTADUAL CAMPINA DO ENCANTADO",293,293,0,0
"PARQUE ESTADUAL CAMPOS DO JORDÃO",6859,6859,0,0
"PARQUE ESTADUAL CANTAREIRA",5852,1717,4135,0
"PARQUE ESTADUAL CANTAREIRA – NÚCLEO ÁGUAS CLARAS",83,83,0,0
"PARQUE ESTADUAL CANTAREIRA – NÚCLEO CABUÇU",193,193,0,0
"PARQUE ESTADUAL CANTAREIRA – NÚCLEO ENGORDADOR",56,56,0,0
"PARQUE ESTADUAL CANTAREIRA – NÚCLEO PEDRA GRANDE",174,174,0,0
"PARQUE ESTADUAL CARLOS BOTELHO",7335,7335,0,0
"PARQUE ESTADUAL CARLOS BOTELHO – NÚCLEO SÃO MIGUEL ARCANJO",53,53,0,0
"PARQUE ESTADUAL CARLOS BOTELHO – NÚCLEO SETE BARRAS",720,720,0,0
"PARQUE ESTADUAL CAVERNA DO DIABO",831,831,0,0
"PARQUE ESTADUAL FONTES DO IPIRANGA",19926,16458,3468,0
"PARQUE ESTADUAL FURNAS DO BOM JESUS",2325,2325,0,0
"PARQUE ESTADUAL ILHA ANCHIETA",2332,1594,738,0
"PARQUE ESTADUAL ILHA DO CARDOSO",17170,17170,0,0
"PARQUE ESTADUAL ILHA DO CARDOSO – NÚCLEO MARUJÁ",0,0,0,0
"PARQUE ESTADUAL ILHA DO CARDOSO – NÚCLEO PEREQUÊ",14,14,0,0
"PARQUE ESTADUAL ILHABELA",209,109,100,0
"PARQUE ESTADUAL INTERVALES",4211,4042,169,0
"PARQUE ESTADUAL INTERVALES – NÚCLEO GUAPIRUVU",0,0,0,0
"PARQUE ESTADUAL INTERVALES – NÚCLEO QUILOMBO",0,0,0,0
"PARQUE ESTADUAL ITABERABA",16,1,15,0
"PARQUE ESTADUAL ITAPETINGA",0,0,0,0
"PARQUE ESTADUAL ITINGUÇU",2,2,0,0
"PARQUE ESTADUAL JARAGUÁ",850,850,0,0
"PARQUE ESTADUAL JUQUERY",1853,1853,0,0
"PARQUE ESTADUAL JURUPARÁ",388,388,0,0
"PARQUE ESTADUAL LAGAMAR DE CANANEIA",280,5,275,0
"PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO",112,112,0,0
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS",67,67,0,0
"PARQUE ESTADUAL MORRO DO DIABO",2921,2921,0,0
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA",48,48,0,0
"PARQUE ESTADUAL PORTO FERREIRA",1180,1039,141,0
"PARQUE ESTADUAL PRELADO",0,0,0,0
"PARQUE ESTADUAL RESTINGA DE BERTIOGA",1659,651,1008,0
"PARQUE ESTADUAL RIO DO PEIXE",0,0,0,0
"PARQUE ESTADUAL RIO TURVO",424,54,370,0
"PARQUE ESTADUAL RIO TURVO – NÚCLEO CAPELINHA",1,1,0,0
"PARQUE ESTADUAL RIO TURVO – NÚCLEO CEDRO",0,0,0,0
"PARQUE ESTADUAL SERRA DO MAR",0,0,0,0
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA",2139,2059,80,0
"PARQUE ESTADUAL VASSUNUNGA",0,0,0,0
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ",533,533,0,0
"PARQUE NATURAL MUNICIPAL AUGUSTO RUSCHI",0,0,0,0
"PARQUE NATURAL MUNICIPAL BANHADO",0,0,0,0
"PARQUE NATURAL MUNICIPAL BASALTO",0,0,0,0
"PARQUE NATURAL MUNICIPAL BORORÉ",65,65,0,0
"PARQUE NATURAL MUNICIPAL BRIGADEIRO TOBIAS",0,0,0,0
"PARQUE NATURAL MUNICIPAL CABECEIRAS DO ARICANDUVA",19,19,0,0
"PARQUE NATURAL MUNICIPAL CACHOEIRA DA MARTA",122,122,0,0
"PARQUE NATURAL MUNICIPAL CAMPO GRANDE",0,0,0,0
